# you get 2 lines to write a comment about this file. exactly 2.
# second line of comment
num classes=41
feature dim=100
partition=k-fold, 2
---
0,Brown Creeper
1,Pacific Wren
2,Pacific-slope Flycatcher
3,Red-breasted Nuthatch
4,Dark-eyed Junco
5,Olive-sided Flycatcher
6,Hermit Thrush
7,Chestnut-backed Chickadee
8,Varied Thrush
9,Hermit Warbler
10,Swainson's Thrush
11,Hammond's Flycatcher
12,Western Tanager
13,Black-headed Grosbeak
14,Golden Crowned Kinglet
15,Warbling Vireo
16,Yellow-rumped Warbler
17,MacGillivray's Warbler
18,Stellar's Jay
19,Frog species
20,Common Nighthawk
21,Wind
22,Stream Noise
23,Airplane
24,Rain
25,Creature Walking
26,Unidentified Bird
27,Gray Jay
28,Pileated Woodpecker
29,Band-tailed Pigeon
30,Red-breasted Sapsucker
31,Osprey
32,Douglas Squirrel
33,Evening Groskbeak
34,Northern Pygmy-Owl
35,Black-throated Gray Warbler
36,American Robin
37,Sooty Grouse
38,Person Talking
39,Chipmunk
40,Empty Segment
***
index;partition;labelset;featurevector
204;0;11,13,21;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.318182,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.045455,0.000000,0.136364,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.045455,0.000000
205;0;2,31;0.000000,0.023256,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.023256,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.069767,0.000000,0.023256,0.023256,0.000000,0.023256,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.023256,0.000000,0.000000,0.000000,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.023256,0.023256,0.000000,0.000000,0.000000,0.046512,0.069767,0.000000,0.000000,0.023256,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.046512,0.023256,0.000000,0.023256,0.000000,0.000000,0.000000,0.069767,0.000000,0.000000,0.046512,0.023256,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000
206;0;21;0.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.043478,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.000000,0.021739,0.000000,0.000000,0.000000,0.021739,0.000000,0.000000,0.021739,0.065217,0.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.021739,0.021739,0.000000,0.000000,0.021739,0.021739,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.021739,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.021739,0.021739,0.043478,0.021739,0.021739,0.000000,0.086957,0.000000,0.021739,0.000000,0.000000,0.021739,0.065217,0.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.000000,0.021739,0.000000,0.021739,0.000000,0.021739,0.000000,0.021739,0.000000,0.000000,0.021739
207;0;24,33;0.000000,0.018519,0.018519,0.000000,0.000000,0.018519,0.000000,0.037037,0.018519,0.018519,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.018519,0.018519,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,0.018519,0.018519,0.000000,0.000000,0.000000,0.037037,0.018519,0.000000,0.018519,0.018519,0.018519,0.000000,0.018519,0.018519,0.000000,0.000000,0.000000,0.037037,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018519,0.018519,0.000000,0.000000,0.018519,0.037037,0.037037,0.000000,0.018519,0.055556,0.018519,0.037037,0.000000,0.018519,0.000000,0.018519,0.018519,0.000000,0.000000,0.000000,0.037037,0.018519,0.000000,0.000000,0.037037,0.018519,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208;0;7,25,27;0.000000,0.000000,0.000000,0.029412,0.029412,0.029412,0.029412,0.000000,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.029412,0.000000,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.029412,0.058824,0.029412,0.000000,0.000000,0.000000,0.058824,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000
209;0;25;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.115385,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.076923,0.038462,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.038462,0.000000,0.038462,0.000000,0.038462,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210;0;3,5,7,8,10,11;0.000000,0.000000,0.000000,0.024390,0.000000,0.048780,0.024390,0.000000,0.024390,0.048780,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.000000,0.024390,0.000000,0.000000,0.000000,0.024390,0.000000,0.024390,0.000000,0.000000,0.024390,0.048780,0.000000,0.024390,0.000000,0.000000,0.073171,0.000000,0.000000,0.000000,0.000000,0.048780,0.000000,0.048780,0.024390,0.000000,0.024390,0.048780,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048780,0.024390,0.000000,0.024390,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.024390,0.000000,0.024390,0.000000,0.000000,0.024390,0.000000,0.000000,0.024390,0.000000,0.000000,0.000000,0.024390,0.024390,0.000000,0.000000,0.000000,0.000000,0.024390,0.000000,0.000000,0.000000,0.000000,0.000000
211;0;18;0.000000,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.027778,0.027778,0.055556,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.027778,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.055556,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778
212;0;10,13,21;0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.000000,0.068966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.068966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.034483,0.000000,0.034483,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.034483,0.034483,0.068966,0.000000,0.000000,0.000000
213;0;7,11;0.000000,0.000000,0.000000,0.047619,0.023810,0.000000,0.000000,0.000000,0.000000,0.047619,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023810,0.000000,0.023810,0.023810,0.000000,0.071429,0.023810,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.047619,0.000000,0.023810,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619,0.023810,0.000000,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.000000,0.023810,0.023810,0.023810,0.000000,0.047619,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.047619,0.000000,0.000000,0.023810,0.000000,0.023810,0.000000,0.000000,0.000000,0.071429,0.023810
214;0;21,30;0.000000,0.013158,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.013158,0.026316,0.000000,0.000000,0.000000,0.000000,0.039474,0.026316,0.026316,0.000000,0.013158,0.026316,0.000000,0.000000,0.013158,0.013158,0.026316,0.013158,0.013158,0.000000,0.000000,0.013158,0.000000,0.026316,0.000000,0.013158,0.000000,0.013158,0.000000,0.000000,0.013158,0.000000,0.000000,0.013158,0.000000,0.000000,0.026316,0.013158,0.026316,0.000000,0.000000,0.013158,0.013158,0.000000,0.013158,0.000000,0.000000,0.013158,0.000000,0.000000,0.013158,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.026316,0.013158,0.026316,0.000000,0.039474,0.065789,0.000000,0.000000,0.000000,0.013158,0.026316,0.013158,0.000000,0.013158,0.013158,0.000000,0.000000,0.013158,0.000000,0.026316,0.000000,0.052632,0.013158,0.013158,0.000000,0.000000,0.000000,0.026316,0.013158,0.013158,0.000000,0.013158,0.000000
215;0;;0.000000,0.000000,0.032258,0.000000,0.000000,0.064516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.032258,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.032258,0.000000,0.032258,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129032,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.032258,0.032258,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.161290,0.032258,0.064516,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000
216;0;7,11,21,22,27;0.000000,0.023810,0.000000,0.023810,0.023810,0.000000,0.000000,0.023810,0.000000,0.023810,0.000000,0.023810,0.023810,0.000000,0.000000,0.023810,0.119048,0.000000,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.023810,0.000000,0.000000,0.023810,0.000000,0.023810,0.047619,0.000000,0.023810,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023810,0.023810,0.047619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619,0.023810,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.023810,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000
217;0;8,25;0.000000,0.000000,0.020408,0.040816,0.000000,0.000000,0.000000,0.000000,0.040816,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040816,0.020408,0.040816,0.020408,0.000000,0.000000,0.020408,0.020408,0.000000,0.040816,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.040816,0.020408,0.000000,0.000000,0.040816,0.040816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.040816,0.020408,0.020408,0.040816,0.000000,0.020408,0.000000,0.000000,0.040816,0.000000,0.040816,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.020408,0.000000,0.020408,0.000000,0.000000,0.000000,0.020408,0.000000,0.020408,0.000000,0.020408,0.020408,0.000000,0.020408,0.000000,0.000000,0.020408,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000
218;0;21;0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.057143,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.057143,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057143,0.000000,0.028571,0.057143,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.028571,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.028571,0.057143,0.000000,0.000000,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.000000,0.028571,0.028571,0.000000,0.000000
219;0;24;0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081081,0.027027,0.000000,0.027027,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.027027,0.054054,0.027027,0.000000,0.000000,0.027027,0.081081,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.081081,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.027027,0.000000,0.027027,0.054054,0.027027,0.081081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054054,0.000000,0.000000,0.000000,0.000000
220;0;25;0.022727,0.022727,0.068182,0.000000,0.000000,0.022727,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.068182,0.022727,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.022727,0.000000,0.022727,0.000000,0.022727,0.000000,0.022727,0.000000,0.000000,0.000000,0.045455,0.045455,0.022727,0.000000,0.045455,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.022727,0.022727,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.022727,0.000000,0.022727,0.022727,0.000000,0.000000,0.090909,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.022727,0.000000,0.022727,0.000000,0.000000
221;0;10,25;0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.064516,0.032258,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.032258,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.032258,0.064516,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.032258,0.000000,0.032258,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.064516,0.096774,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.032258,0.032258,0.032258,0.000000,0.032258
222;0;1,10;0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.021739,0.000000,0.000000,0.021739,0.000000,0.000000,0.021739,0.021739,0.000000,0.000000,0.000000,0.021739,0.000000,0.000000,0.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.021739,0.021739,0.021739,0.000000,0.021739,0.021739,0.000000,0.000000,0.043478,0.000000,0.021739,0.021739,0.021739,0.000000,0.043478,0.000000,0.000000,0.021739,0.000000,0.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.021739,0.000000,0.043478,0.000000,0.000000,0.021739,0.043478,0.108696,0.021739,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.000000,0.000000,0.000000,0.021739,0.000000,0.065217,0.000000,0.000000,0.000000,0.000000,0.021739,0.043478,0.000000,0.000000,0.000000,0.021739
223;0;10;0.000000,0.000000,0.000000,0.019608,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039216,0.000000,0.000000,0.039216,0.117647,0.000000,0.019608,0.019608,0.000000,0.000000,0.039216,0.039216,0.019608,0.000000,0.000000,0.000000,0.019608,0.000000,0.019608,0.058824,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.019608,0.019608,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.019608,0.019608,0.039216,0.000000,0.039216,0.000000,0.039216,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.019608,0.000000,0.039216,0.058824,0.019608,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000
224;0;7,11;0.000000,0.000000,0.000000,0.074074,0.037037,0.074074,0.000000,0.000000,0.000000,0.000000,0.037037,0.037037,0.000000,0.000000,0.000000,0.000000,0.074074,0.000000,0.000000,0.037037,0.037037,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074074,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.037037,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.037037,0.037037,0.000000,0.037037,0.074074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074074,0.000000
225;0;7,11;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.052632,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.263158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
226;0;;0.048387,0.016129,0.016129,0.032258,0.016129,0.032258,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.016129,0.000000,0.000000,0.000000,0.032258,0.016129,0.016129,0.032258,0.016129,0.016129,0.000000,0.016129,0.000000,0.016129,0.016129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048387,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.016129,0.016129,0.000000,0.000000,0.000000,0.016129,0.000000,0.000000,0.000000,0.000000,0.016129,0.016129,0.016129,0.000000,0.000000,0.000000,0.016129,0.016129,0.016129,0.016129,0.000000,0.000000,0.032258,0.000000,0.016129,0.000000,0.000000,0.016129,0.016129,0.000000,0.016129,0.016129,0.000000,0.048387,0.016129,0.000000,0.000000,0.016129,0.016129,0.000000,0.016129,0.000000,0.000000,0.016129,0.000000,0.048387,0.016129,0.000000,0.000000,0.000000,0.016129,0.016129,0.032258,0.000000,0.000000,0.000000
227;0;;0.000000,0.028571,0.000000,0.028571,0.000000,0.000000,0.028571,0.000000,0.028571,0.028571,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.000000,0.028571,0.000000,0.028571,0.028571,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.057143,0.000000,0.028571,0.000000,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.057143,0.028571,0.028571,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.000000,0.028571,0.000000,0.057143,0.028571,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000
228;0;;0.000000,0.000000,0.016667,0.000000,0.000000,0.016667,0.016667,0.016667,0.016667,0.000000,0.033333,0.000000,0.016667,0.000000,0.050000,0.000000,0.000000,0.000000,0.033333,0.016667,0.000000,0.033333,0.016667,0.000000,0.016667,0.016667,0.000000,0.033333,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.016667,0.000000,0.000000,0.000000,0.016667,0.000000,0.000000,0.016667,0.000000,0.033333,0.016667,0.000000,0.000000,0.016667,0.000000,0.016667,0.000000,0.016667,0.000000,0.000000,0.016667,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016667,0.016667,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016667,0.016667,0.033333,0.033333,0.000000,0.016667,0.033333,0.016667,0.016667,0.016667,0.016667,0.066667,0.000000
229;0;8;0.000000,0.057143,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.028571,0.000000,0.085714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.028571,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.000000,0.000000,0.057143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.028571,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.028571,0.000000,0.028571,0.000000,0.000000,0.000000,0.057143,0.028571,0.057143,0.000000,0.000000,0.028571,0.000000,0.000000,0.028571,0.028571,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000
